estimate,iteration,trueval
268291,1,268435
268313,2,268435
268357,3,268435
268365,4,268435
268367,5,268435
268371,6,268435
268375,7,268435
268379,8,268435
268379,9,268435
268381,10,268435
268381,11,268435
268385,12,268435
268391,13,268435
268391,14,268435
268391,15,268435
268397,16,268435
268397,17,268435
268397,18,268435
268399,19,268435
268399,20,268435
268403,21,268435
268403,22,268435
268405,23,268435
268405,24,268435
268405,25,268435
268407,26,268435
268407,27,268435
268409,28,268435
268413,29,268435
268413,30,268435
268417,31,268435
268421,32,268435
268421,33,268435
268421,34,268435
268423,35,268435
268425,36,268435
268425,37,268435
268427,38,268435
268427,39,268435
268429,40,268435
268429,41,268435
268431,42,268435
268435,43,268435
268435,44,268435
268437,45,268435
268437,46,268435
268437,47,268435
268437,48,268435
268439,49,268435
268439,50,268435
268439,51,268435
268441,52,268435
268445,53,268435
268445,54,268435
268445,55,268435
268445,56,268435
268445,57,268435
268447,58,268435
268447,59,268435
268449,60,268435
268449,61,268435
268451,62,268435
268453,63,268435
268453,64,268435
268457,65,268435
268457,66,268435
268459,67,268435
268459,68,268435
268459,69,268435
268463,70,268435
268465,71,268435
268465,72,268435
268471,73,268435
268471,74,268435
268471,75,268435
268473,76,268435
268473,77,268435
268475,78,268435
268479,79,268435
268479,80,268435
268479,81,268435
268481,82,268435
268483,83,268435
268483,84,268435
268483,85,268435
268483,86,268435
268485,87,268435
268485,88,268435
268487,89,268435
268489,90,268435
268489,91,268435
268493,92,268435
268493,93,268435
268495,94,268435
268495,95,268435
268499,96,268435
268501,97,268435
268501,98,268435
268503,99,268435
268507,100,268435
